"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Average price Detached houses","Average price Semi-detached houses","Average price Terraced houses","Average price Flats and maisonettes","Pivotable date"
Birmingham,http://landregistry.data.gov.uk/id/region/birmingham,E08000025,2001-01,1138,monthly,64287,131557,71318,54598,52070,2001-01-01
Birmingham,http://landregistry.data.gov.uk/id/region/birmingham,E08000025,2001-02,1142,monthly,65120,132872,72228,55369,52675,2001-02-01
Birmingham,http://landregistry.data.gov.uk/id/region/birmingham,E08000025,2001-03,1404,monthly,65711,134196,72911,55913,52891,2001-03-01
Birmingham,http://landregistry.data.gov.uk/id/region/birmingham,E08000025,2001-04,1268,monthly,67388,137257,74635,57434,54312,2001-04-01
Birmingham,http://landregistry.data.gov.uk/id/region/birmingham,E08000025,2001-05,1486,monthly,68546,138840,75832,58524,55321,2001-05-01
Birmingham,http://landregistry.data.gov.uk/id/region/birmingham,E08000025,2001-06,1894,monthly,69720,140718,77025,59554,56505,2001-06-01
Birmingham,http://landregistry.data.gov.uk/id/region/birmingham,E08000025,2001-07,1785,monthly,70330,142222,77808,60036,56852,2001-07-01
Birmingham,http://landregistry.data.gov.uk/id/region/birmingham,E08000025,2001-08,1927,monthly,71643,145697,79185,61103,57967,2001-08-01
Birmingham,http://landregistry.data.gov.uk/id/region/birmingham,E08000025,2001-09,1577,monthly,72581,148502,80082,61859,58839,2001-09-01
Birmingham,http://landregistry.data.gov.uk/id/region/birmingham,E08000025,2001-10,1893,monthly,72985,149291,80546,62101,59415,2001-10-01
Birmingham,http://landregistry.data.gov.uk/id/region/birmingham,E08000025,2001-11,1796,monthly,73028,149120,80733,62033,59557,2001-11-01
Birmingham,http://landregistry.data.gov.uk/id/region/birmingham,E08000025,2001-12,1565,monthly,73216,148616,81027,62080,60098,2001-12-01
Birmingham,http://landregistry.data.gov.uk/id/region/birmingham,E08000025,2002-01,1267,monthly,73118,148432,80897,61925,60240,2002-01-01
Birmingham,http://landregistry.data.gov.uk/id/region/birmingham,E08000025,2002-02,1388,monthly,73407,149003,81061,62219,60614,2002-02-01
Birmingham,http://landregistry.data.gov.uk/id/region/birmingham,E08000025,2002-03,1601,monthly,74824,151870,82658,63506,61500,2002-03-01
Birmingham,http://landregistry.data.gov.uk/id/region/birmingham,E08000025,2002-04,1544,monthly,76716,154857,84617,65194,63284,2002-04-01
Birmingham,http://landregistry.data.gov.uk/id/region/birmingham,E08000025,2002-05,2080,monthly,79052,158644,87287,67172,65315,2002-05-01
Birmingham,http://landregistry.data.gov.uk/id/region/birmingham,E08000025,2002-06,1630,monthly,81179,162510,89445,69083,67231,2002-06-01
Birmingham,http://landregistry.data.gov.uk/id/region/birmingham,E08000025,2002-07,2046,monthly,84209,168879,92817,71734,69412,2002-07-01
Birmingham,http://landregistry.data.gov.uk/id/region/birmingham,E08000025,2002-08,2022,monthly,86616,173829,95407,73824,71366,2002-08-01
Birmingham,http://landregistry.data.gov.uk/id/region/birmingham,E08000025,2002-09,1700,monthly,88970,178940,98253,75721,73057,2002-09-01
Birmingham,http://landregistry.data.gov.uk/id/region/birmingham,E08000025,2002-10,1764,monthly,90462,181660,100143,76840,74349,2002-10-01
Birmingham,http://landregistry.data.gov.uk/id/region/birmingham,E08000025,2002-11,1856,monthly,92926,186909,102867,78890,76412,2002-11-01
Birmingham,http://landregistry.data.gov.uk/id/region/birmingham,E08000025,2002-12,1613,monthly,95113,190301,105346,80676,78574,2002-12-01
Birmingham,http://landregistry.data.gov.uk/id/region/birmingham,E08000025,2003-01,1342,monthly,98068,195753,108307,83392,81109,2003-01-01
Birmingham,http://landregistry.data.gov.uk/id/region/birmingham,E08000025,2003-02,1290,monthly,100098,198750,110730,85060,82924,2003-02-01
Birmingham,http://landregistry.data.gov.uk/id/region/birmingham,E08000025,2003-03,1317,monthly,101677,202220,112389,86549,83896,2003-03-01
Birmingham,http://landregistry.data.gov.uk/id/region/birmingham,E08000025,2003-04,1400,monthly,103662,205370,114923,88157,85387,2003-04-01
Birmingham,http://landregistry.data.gov.uk/id/region/birmingham,E08000025,2003-05,1480,monthly,104777,207254,116186,89336,85739,2003-05-01
Birmingham,http://landregistry.data.gov.uk/id/region/birmingham,E08000025,2003-06,1793,monthly,107214,210824,118736,91416,88332,2003-06-01
Birmingham,http://landregistry.data.gov.uk/id/region/birmingham,E08000025,2003-07,1743,monthly,107999,211606,119504,92268,88874,2003-07-01
Birmingham,http://landregistry.data.gov.uk/id/region/birmingham,E08000025,2003-08,1869,monthly,110732,216080,122428,94715,91232,2003-08-01
Birmingham,http://landregistry.data.gov.uk/id/region/birmingham,E08000025,2003-09,1824,monthly,111727,217702,123671,95866,91105,2003-09-01
Birmingham,http://landregistry.data.gov.uk/id/region/birmingham,E08000025,2003-10,2124,monthly,113440,220356,125454,97491,92473,2003-10-01
Birmingham,http://landregistry.data.gov.uk/id/region/birmingham,E08000025,2003-11,1931,monthly,114409,221713,126560,98379,93203,2003-11-01
Birmingham,http://landregistry.data.gov.uk/id/region/birmingham,E08000025,2003-12,1920,monthly,117270,225070,129545,100982,96073,2003-12-01
Birmingham,http://landregistry.data.gov.uk/id/region/birmingham,E08000025,2004-01,1513,monthly,118525,227582,130933,102097,96984,2004-01-01
Birmingham,http://landregistry.data.gov.uk/id/region/birmingham,E08000025,2004-02,1516,monthly,119095,227878,131353,102714,97586,2004-02-01
Birmingham,http://landregistry.data.gov.uk/id/region/birmingham,E08000025,2004-03,1703,monthly,118787,227695,130807,102571,97092,2004-03-01
Birmingham,http://landregistry.data.gov.uk/id/region/birmingham,E08000025,2004-04,1836,monthly,121293,229672,133419,105191,98973,2004-04-01
Birmingham,http://landregistry.data.gov.uk/id/region/birmingham,E08000025,2004-05,1637,monthly,123689,231539,135766,107709,100949,2004-05-01
Birmingham,http://landregistry.data.gov.uk/id/region/birmingham,E08000025,2004-06,1823,monthly,126177,234100,138467,110029,103127,2004-06-01
Birmingham,http://landregistry.data.gov.uk/id/region/birmingham,E08000025,2004-07,2109,monthly,127571,236255,140158,111368,103910,2004-07-01
Birmingham,http://landregistry.data.gov.uk/id/region/birmingham,E08000025,2004-08,1705,monthly,129552,240650,142473,113116,105164,2004-08-01
Birmingham,http://landregistry.data.gov.uk/id/region/birmingham,E08000025,2004-09,1649,monthly,130945,244074,144121,114465,105715,2004-09-01
Birmingham,http://landregistry.data.gov.uk/id/region/birmingham,E08000025,2004-10,1684,monthly,132163,246321,145128,115421,107336,2004-10-01
Birmingham,http://landregistry.data.gov.uk/id/region/birmingham,E08000025,2004-11,1315,monthly,133109,247679,146051,116158,108511,2004-11-01
Birmingham,http://landregistry.data.gov.uk/id/region/birmingham,E08000025,2004-12,1448,monthly,133427,246651,146047,116542,109339,2004-12-01
