"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Average price Detached houses","Average price Semi-detached houses","Average price Terraced houses","Average price Flats and maisonettes","Pivotable date"
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2001-01,536,monthly,43750,79919,51416,37391,43894,2001-01-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2001-02,511,monthly,44813,81438,52630,38339,44958,2001-02-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2001-03,633,monthly,44076,80058,51783,37772,44032,2001-03-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2001-04,664,monthly,45364,82269,53184,38917,45378,2001-04-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2001-05,721,monthly,46078,83355,53969,39565,46095,2001-05-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2001-06,787,monthly,46842,84417,54763,40230,47009,2001-06-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2001-07,943,monthly,48068,86731,56331,41289,48034,2001-07-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2001-08,940,monthly,49158,88992,57547,42206,49219,2001-08-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2001-09,727,monthly,50693,92103,59220,43520,50902,2001-09-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2001-10,825,monthly,50525,91846,58992,43296,50967,2001-10-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2001-11,842,monthly,49813,90657,58273,42574,50366,2001-11-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2001-12,728,monthly,49169,89130,57597,41876,50028,2001-12-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2002-01,667,monthly,48845,88488,57166,41533,49943,2002-01-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2002-02,716,monthly,48936,88541,57124,41631,50202,2002-02-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2002-03,803,monthly,49427,89372,57704,42106,50554,2002-03-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2002-04,778,monthly,51504,92694,60013,43889,52851,2002-04-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2002-05,1157,monthly,52934,94832,61738,45099,54309,2002-05-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2002-06,902,monthly,54970,98314,63954,46881,56514,2002-06-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2002-07,1127,monthly,56166,100659,65400,48005,57381,2002-07-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2002-08,1109,monthly,58516,104936,68116,50030,59759,2002-08-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2002-09,1016,monthly,58513,105301,68313,50038,59410,2002-09-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2002-10,997,monthly,58905,106064,68964,50245,59861,2002-10-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2002-11,1153,monthly,59466,107516,69615,50738,60357,2002-11-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2002-12,1064,monthly,60179,108349,70485,51265,61289,2002-12-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2003-01,793,monthly,60263,108312,70368,51481,61327,2003-01-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2003-02,775,monthly,59348,105965,69309,50684,60497,2003-02-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2003-03,872,monthly,59642,106624,69550,51051,60628,2003-03-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2003-04,916,monthly,59396,105869,69464,50750,60368,2003-04-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2003-05,1017,monthly,61723,110236,72386,52808,62255,2003-05-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2003-06,925,monthly,64059,113864,75032,54735,64987,2003-06-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2003-07,1020,monthly,68823,121800,80579,58892,69705,2003-07-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2003-08,1094,monthly,70599,124261,82555,60511,71474,2003-08-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2003-09,1162,monthly,72604,127850,85109,62454,72641,2003-09-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2003-10,1186,monthly,72845,128218,85295,62753,72790,2003-10-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2003-11,1127,monthly,74092,130382,86755,63825,74045,2003-11-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2003-12,1305,monthly,76948,134067,89823,66368,77221,2003-12-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2004-01,862,monthly,78712,137102,91864,68011,78724,2004-01-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2004-02,888,monthly,77705,134725,90531,67238,77631,2004-02-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2004-03,1194,monthly,77111,133931,89621,66743,76922,2004-03-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2004-04,1285,monthly,78662,134767,91267,68360,78271,2004-04-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2004-05,1033,monthly,82566,139771,95393,72116,81978,2004-05-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2004-06,1252,monthly,86415,144918,99734,75642,85707,2004-06-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2004-07,1241,monthly,90834,152076,105136,79775,89507,2004-07-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2004-08,1165,monthly,93824,157362,108816,82530,92087,2004-08-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2004-09,1055,monthly,96240,161909,111872,84965,93775,2004-09-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2004-10,979,monthly,95370,160462,110418,84054,93435,2004-10-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2004-11,1018,monthly,95369,160003,110178,84059,93616,2004-11-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2004-12,966,monthly,94943,158238,109340,83636,93575,2004-12-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2005-01,766,monthly,93079,154844,106818,81970,92046,2005-01-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2005-02,695,monthly,93156,154816,106963,81929,92284,2005-02-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2005-03,868,monthly,93972,156382,107953,82599,93136,2005-03-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2005-04,953,monthly,96994,160818,111628,85446,95819,2005-04-01
Manchester,http://landregistry.data.gov.uk/id/region/manchester,E08000003,2005-05,917,monthly,100861,167342,115945,89079,99439,2005-05-01
